NA10;NA17;NA38;NA64;NA88;NA129
AZ;AZ;AZ;AZ1;1; A01Z
AZ;AZ;AZ;AZ2;2; A02Z
AZ;AZ;AZ;AZ3;3; A03Z
BE;DE;BZ;BZ0;5; B05Z
BE;DE;BZ;BZ0;6; B06Z
BE;DE;BZ;BZ0;7; B07Z
BE;DE;BZ;BZ0;8; B08Z
BE;DE;BZ;BZ0;9; B09Z
BE;DE;DZ;DZ0;35; D35A
BE;DE;DZ;DZ0;35; D35B
BE;DE;EZ;EZ1;36; E36Z
BE;DE;EZ;EZ2;37; E37Z
BE;DE;EZ;EZ2;38; E38Z
BE;DE;EZ;EZ2;39; E39Z
BE;C1;CA;CA0;10; C10A
BE;C1;CA;CA0;10; C10B
BE;C1;CA;CA0;10; C10C
BE;C1;CA;CA0;10; C10D
BE;C1;CA;CA0;10; C10E
BE;C1;CA;CA0;10; C10F
BE;C1;CA;CA0;10; C10G 
BE;C1;CA;CA0;10; C10H
BE;C1;CA;CA0;10; C10K
BE;C1;CA;CA0;11; C11Z
BE;C1;CA;CA0;12; C12Z
BE;C2;CD;CD0;19; C19Z
BE;C3;CI;CI0;26; C26A
BE;C3;CI;CI0;26; C26B
BE;C3;CI;CI0;26; C26C
BE;C3;CI;CI0;26; C26D
BE;C3;CI;CI0;26; C26E
BE;C3;CI;CI0;26; C26F
BE;C3;CI;CI0;26; C26G
BE;C3;CJ;CJ0;27; C27A
BE;C3;CJ;CJ0;27; C27B
BE;C3;CK;CK0;28; C28A
BE;C3;CK;CK0;28; C28B
BE;C3;CK;CK0;28; C28C
BE;C3;CK;CK0;28; C28D
BE;C4;CL;CL1;29; C29A
BE;C4;CL;CL1;29; C29B
BE;C4;CL;CL2;30; C30A
BE;C4;CL;CL2;30; C30B
BE;C4;CL;CL2;30; C30C
BE;C4;CL;CL2;30; C30D
BE;C4;CL;CL2;30; C30E
BE;C5;CB;CB0;13; C13Z
BE;C5;CB;CB0;14; C14Z
BE;C5;CB;CB0;15; C15Z
BE;C5;CC;CC1;16; C16Z
BE;C5;CC;CC2;17; C17A
BE;C5;CC;CC2;17; C17B
BE;C5;CC;CC3;18; C18Z
BE;C5;CE;CE0;20; C20A
BE;C5;CE;CE0;20; C20B
BE;C5;CE;CE0;20; C20C
BE;C5;CF;CF0;21; C21Z
BE;C5;CG;CG1;22; C22A
BE;C5;CG;CG1;22; C22B
BE;C5;CG;CG2;23; C23A
BE;C5;CG;CG2;23; C23B
BE;C5;CH;CH1;24; C24A
BE;C5;CH;CH1;24; C24B
BE;C5;CH;CH1;24; C24C
BE;C5;CH;CH2;25; C25A
BE;C5;CH;CH2;25; C25B
BE;C5;CH;CH2;25; C25C
BE;C5;CH;CH2;25; C25D
BE;C5;CH;CH2;25; C25E
BE;C5;CM;CM1;31; C31Z
BE;C5;CM;CM1;32; C32A
BE;C5;CM;CM1;32; C32B
BE;C5;CM;CM1;32; C32C
BE;C5;CM;CM2;33; C33Z
FZ;FZ;FZ;FZ0;41; F41A
FZ;FZ;FZ;FZ0;41; F41B
FZ;FZ;FZ;FZ0;42; F42Z
FZ;FZ;FZ;FZ0;43; F43Z
GI;GZ;GZ;GZ1;45; G45Z
GI;GZ;GZ;GZ2;46; G46Z
GI;GZ;GZ;GZ3;47; G47Z
GI;HZ;HZ;HZ1;49; H49A
GI;HZ;HZ;HZ1;49; H49B
GI;HZ;HZ;HZ1;49; H49C
GI;HZ;HZ;HZ2;50; H50Z
GI;HZ;HZ;HZ3;51; H51Z
GI;HZ;HZ;HZ4;52; H52Z
GI;HZ;HZ;HZ5;53; H53Z
GI;IZ;IZ;IZ0;55; I55Z
GI;IZ;IZ;IZ0;56; I56Z
