Fonc;Pr_NA10;Coef
11;AZ;0.779445255074266
11;BE;0.225662058019587
12;BE;0.0261558381547595
21;BE;0.0404670403745379
22;BE;0.0399421191078553
31;BE;0.0682513087266387
31;MN;0.00167653980561655
31;RU;0.0287091071574551
32;BE;0.0174862870848435
32;RU;0.00541853387733262
41;LZ;0.958495934656031
42;LI;0.996525082297522
43;BE;0.0043930229676248
43;FZ;0.891893597392763
44;BE;0.0269321330128504
44;FZ;0.0611646343234073
44;LI;0.00347491770247803
44;LZ;0.0155971132735621
44;MN;0.0180925801114876
45;AZ;0.0557146522110032
45;BE;0.0910446769354406
51;BE;0.0281398816943005
51;FZ;0.0469417682838296
51;RU;0.0271869588804911
52;BE;0.00781586747410311
53;BE;0.0163724525716328
53;MN;0.0268246368898648
53;RU;0.00824699225804294
54;BE;0.0146669944858319
55;BE;0.00797799263886216
55;MN;0.0502961941684966
55;RU;0.00494819535482576
56;BE;0.0170734869113303
56;MN;0.0950396039969496
56;RU;0.0768621942790895
60;BE;0.0379680118842861
60;MN;0.00502961941684966
60;OQ;0.432354101345803
60;RU;0.00297267369703996
71;BE;0.0736691914680531
72;BE;0.114817094603278
72;GI;0.164289028416474
72;LZ;0.0151586537658662
72;MN;0.100091928693525
72;OQ;0.0325144465617243
73;GI;0.210918154319277
73;MN;0.00540455393662786
81;GI;0.0133765762965218
82;BE;0.0087393192886814
82;RU;0.00193757942612534
83;JZ;0.483968521549681
83;MN;0.0217950174730152
91;BE;0.0196897941794862
91;JZ;0.0838434319131392
91;MN;0.00210849390772427
91;RU;0.031505696385972
92;BE;0.00848467575664812
92;MN;0.00333256897010738
92;RU;0.0131063116365312
93;AZ;0.164840092714731
93;BE;0.0310606616378019
93;JZ;0.0269983485336413
93;MN;0.107753063366805
93;RU;0.0233860704226399
94;GI;0.00970669138750484
94;JZ;0.166269856755108
94;MN;0.127305857551957
94;OQ;0.00568120201113777
94;RU;0.488881338762179
95;BE;0.00722246867672868
95;JZ;0.228131167250232
96;MN;0.0832629476498702
100;OQ;0.163266108705834
111;BE;0.00134368305826162
111;GI;0.468718857055978
112;GI;0.132990692524244
121;BE;0.0409089887251075
121;RU;0.202355007840427
123;BE;0.0237149505614681
123;RU;0.00755625784971648
124;MN;0.00515145262513645
124;OQ;0.355339537400179
125;KZ;0.776864292649316
126;KZ;0.223135707350684
126;MN;0.012634554933445
127;JZ;0.0107886739981986
127;LZ;0.0107482983045403
127;MN;0.334200386502521
127;OQ;0.010844603975322
127;RU;0.0769270821721327
