NA17;NA38;NA138
AZ;AZ;GA01Z
AZ;AZ;GA02Z
AZ;AZ;GA03Z
DE;BZ;GB05Z
DE;BZ;GB06Z
DE;BZ;GB07Z
DE;BZ;GB08Z
DE;BZ;GB09Z
C1;CA;GC10A
C1;CA;GC10B
C1;CA;GC10C
C1;CA;GC10D
C1;CA;GC10E
C1;CA;GC10F
C1;CA;GC10G
C1;CA;GC10H
C1;CA;GC10K
C1;CA;GC11Z
C1;CA;GC12Z
C5;CB;GC13Z
C5;CB;GC14Z
C5;CB;GC15Z
C5;CC;GC16Z
C5;CC;GC17A
C5;CC;GC17B
C5;CC;GC18Z
C2;CD;GC19Z
C5;CE;GC20A
C5;CE;GC20B
C5;CE;GC20C
C5;CF;GC21Z
C5;CG;GC22A
C5;CG;GC22B
C5;CG;GC23A
C5;CG;GC23B
C5;CH;GC24A
C5;CH;GC24B
C5;CH;GC24C
C5;CH;GC25A
C5;CH;GC25B
C5;CH;GC25C
C5;CH;GC25D
C5;CH;GC25E
C3;CI;GC26A
C3;CI;GC26B
C3;CI;GC26C
C3;CI;GC26D
C3;CI;GC26E
C3;CI;GC26F
C3;CI;GC26G
C3;CJ;GC27A
C3;CJ;GC27B
C3;CK;GC28A
C3;CK;GC28B
C3;CK;GC28C
C3;CK;GC28D
C4;CL;GC29A
C4;CL;GC29B
C4;CL;GC30A
C4;CL;GC30B
C4;CL;GC30C
C4;CL;GC30D
C4;CL;GC30E
C5;CM;GC31Z
C5;CM;GC32A
C5;CM;GC32B
C5;CM;GC32C
C5;CM;GC33Z
DE;DZ;GD35A
DE;DZ;GD35B
DE;EZ;GE36Z
DE;EZ;GE37Z
DE;EZ;GE38Z
DE;EZ;GE39Z
FZ;FZ;GF41A
FZ;FZ;GF41B
FZ;FZ;GF42Z
FZ;FZ;GF43Z
GZ;GZ;GG45Z
GZ;GZ;GG46Z
GZ;GZ;GG47Z
HZ;HZ;GH49A
HZ;HZ;GH49B
HZ;HZ;GH49C
HZ;HZ;GH50Z
HZ;HZ;GH51Z
HZ;HZ;GH52Z
HZ;HZ;GH53Z
IZ;IZ;GI55Z
IZ;IZ;GI56Z
JZ;JA;GJ58Z
JZ;JA;GJ59Z
JZ;JA;GJ60Z
JZ;JB;GJ61Z
JZ;JC;GJ62Z
JZ;JC;GJ63Z
KZ;KZ;GK64H
KZ;KZ;GK64S
KZ;KZ;GK65Z
KZ;KZ;GK66Z
LZ;LZ;GL68A
LZ;LZ;GL68I
LZ;LZ;GL68R
MN;MA;GM69Z
MN;MA;GM70Z
MN;MA;GM71Z
MN;MB;GM72M
MN;MB;GM72N
MN;MC;GM73Z
MN;MC;GM74Z
MN;MC;GM75Z
MN;NZ;GN77Z
MN;NZ;GN78Z
MN;NZ;GN79Z
MN;NZ;GN80Z
MN;NZ;GN81Z
MN;NZ;GN82Z
OQ;OZ;GO84Z
OQ;PZ;GP85M
OQ;PZ;GP85N
OQ;QA;GQ86M
OQ;QA;GQ86N
OQ;QB;GQ87M
OQ;QB;GQ87N
OQ;QB;GQ88M
OQ;QB;GQ88N
RU;RZ;GR90M
RU;RZ;GR90N
RU;RZ;GR91M
RU;RZ;GR91N
RU;RZ;GR92Z
RU;RZ;GR93M
RU;RZ;GR93N
RU;SZ;GS94M
RU;SZ;GS94N
RU;SZ;GS95Z
RU;SZ;GS96Z
RU;TZ;GT97Z
RU;TZ;
RU;UZ;
