FONC1et2;LIBELLE;NiveauCOICOP;Q1;Q2;Q3;Q4;Q5;Moins_de_30_ans;30-39_ans;40-49_ans;50-59_ans;60-69_ans;70_ans_et_plus;Personne_seule;Famille_Monoparentale;Couples_sans_enfant;Couples_1_enfant;Couples_2_enfants;Couples_3_enfants_et_plus;Agriculteurs;Artisans,_commerc,_chefs_d'entreprises_et_professions_liberales;Cadres;Professions_intermediaires;Employes;Ouvriers_;Ensemble_actifs;Retraites_Agriculteurs;Retraites_autres_independants;Retraites_cadres;Retraites_professions_intermediaires;Retraites_employes;Retraites_ouvriers;Ensemble_retraites;Autres_inactifs;1_personne_seule_agee_de_moins_de_65_ans;1_personne_seule_agee_de_65_ans_ou_plus;1_adulte,_avec_au_moins_1_enfant_vivant_dans_le_logement;2_adultes,_sans_enfant_vivant_dans_le_logement,_dont_les_2_adultes_ont_moins_de_65_ans;2_adultes,_sans_enfant_vivant_dans_le_logement_dont_au_moins_un_des_adultes_a_65_ans_ou_plus;2_adultes,_avec_1_ou_2_enfants_vivant_dans_le_logement;2_adultes,_avec_3_enfants_ou_+__vivant_dans_le_logement;Autres_menages
1;Prod. alimentaires et boissons non alcoolisées;1;0.142536648;0.170551616;0.199627555;0.221175497;0.266108684;0.051750497;0.145820877;0.216784886;0.210530838;0.189576284;0.185536618;0.215902673;0.091114555;0.340145649;0.129021793;0.15541692;0.06839841;0.017599495;0.07058761;0.126906016;0.148381881;0.098529666;0.151511224;0.613515893;0.015739399;0.040330668;0.065546276;0.079764825;0.067626765;0.095457684;0.364465617;0.02201849;0.106555145;0.089514816;0.066145011;0.160792358;0.17302085;0.265127188;0.077246537;0.061598096
11;Produits alimentaires;2;0.141236349;0.169922584;0.200352366;0.221549148;0.266939553;0.050292252;0.14417886;0.21559003;0.210468022;0.19119994;0.188270895;0.214469434;0.09036744;0.343842108;0.128166557;0.154905045;0.068249417;0.017814798;0.070544169;0.127055005;0.147688572;0.097587373;0.149655385;0.610345302;0.016331689;0.040761579;0.066225617;0.081129453;0.067707927;0.096162114;0.36831838;0.021336318;0.104828277;0.090017251;0.065436292;0.16068821;0.176821131;0.263543361;0.077218496;0.061446982
12;Boissons non alcoolisées;2;0.156412301;0.177264092;0.191893011;0.217188221;0.257242374;0.067311615;0.163343041;0.229535354;0.211201151;0.172250048;0.156358791;0.231196954;0.099087115;0.300700266;0.13814813;0.160879199;0.069988336;0.01530197;0.07105118;0.125316137;0.155780279;0.108584995;0.171315113;0.647349674;0.009418989;0.035732364;0.058296945;0.065202702;0.066760676;0.087940617;0.323352292;0.029298034;0.124982772;0.084153265;0.07370784;0.161903733;0.132467562;0.282028414;0.077545767;0.063210648
2;Boissons alcoolisées et tabac;1;0.154221252;0.189407511;0.194604726;0.201674265;0.260092246;0.079123893;0.167247496;0.22310251;0.221742631;0.190346962;0.118436508;0.268042723;0.10633012;0.324187727;0.126796431;0.121577477;0.053065522;0.013538047;0.073732289;0.122305086;0.151545618;0.116441255;0.196191029;0.673753325;0.006529022;0.033732946;0.064810858;0.060594483;0.051795513;0.08426959;0.301732412;0.024514263;0.175319093;0.070537211;0.079497823;0.190562458;0.131125877;0.232371137;0.057796818;0.062789582
21;Boissons alcoolisées;2;0.103509438;0.158433117;0.186122493;0.22146784;0.330467112;0.060098521;0.123042187;0.18454859;0.209021425;0.250807544;0.172481732;0.249378026;0.077729752;0.40547096;0.118234592;0.106740586;0.042446084;0.014614096;0.06143018;0.127195601;0.149632784;0.081222292;0.146165183;0.580260137;0.010512918;0.050789339;0.097931489;0.079540269;0.068891952;0.099505942;0.407171907;0.012567956;0.140132071;0.09146648;0.053460346;0.199095027;0.204881854;0.206599537;0.051005667;0.053359018
22;Tabac;2;0.205542914;0.220754396;0.203188964;0.181642657;0.188871069;0.09837806;0.211984407;0.262120069;0.234616819;0.129159295;0.06374135;0.286931876;0.135274429;0.241927002;0.135461234;0.136592793;0.063812667;0.012449057;0.08618234;0.11735576;0.153481455;0.152083752;0.246818475;0.768370839;0.002497217;0.016471438;0.031291926;0.04142086;0.034493476;0.06885001;0.195024926;0.036604235;0.210929267;0.049356251;0.10584842;0.181927278;0.056482929;0.25845266;0.064669639;0.072333556
3;Articles d'habillement et chaussures;1;0.14311498;0.149845859;0.173568863;0.215682179;0.317788118;0.091979814;0.221406007;0.250080367;0.21354524;0.143057202;0.07993137;0.233144502;0.105202863;0.256971083;0.146293894;0.179770032;0.078617627;0.010000881;0.093224634;0.187724604;0.194711557;0.121609727;0.165115646;0.772387049;0.006153962;0.023633471;0.044253276;0.049383728;0.034396492;0.047101186;0.204922115;0.022690836;0.160178134;0.048641114;0.090376773;0.159681458;0.080156474;0.315437862;0.090839787;0.054688397
31;Articles d'habillement;2;0.141314566;0.148879795;0.17247463;0.215082117;0.322248892;0.093891763;0.222516811;0.244236867;0.21270969;0.145786697;0.080858172;0.239460504;0.102841891;0.258845162;0.147686629;0.174996317;0.076169497;0.009958925;0.093173502;0.190033695;0.19498424;0.121244655;0.161161699;0.770556715;0.005949945;0.023787481;0.046302064;0.050031211;0.034426486;0.045877817;0.206375005;0.02306828;0.164469424;0.050436678;0.088030255;0.160466327;0.08125166;0.311753542;0.08798002;0.055612094
32;Chaussures y.c réparations;2;0.149744608;0.153403179;0.177598137;0.217891777;0.301362299;0.084939481;0.217315717;0.271597772;0.216621968;0.133006435;0.076518627;0.209887211;0.113896624;0.250070196;0.141165453;0.197348187;0.087632329;0.010155373;0.093412915;0.179221884;0.193707463;0.122954027;0.179675188;0.779126851;0.006905208;0.023066363;0.036709064;0.046999517;0.034286042;0.051605972;0.199572167;0.021300982;0.144376402;0.042029342;0.099017309;0.156791351;0.076123692;0.329004564;0.101370253;0.051287087
4;Logement, eau, gaz, électricité et autres combustibles;1;0.121244325;0.15713712;0.193173712;0.230639294;0.297805548;0.057773945;0.163434979;0.204494382;0.197085341;0.1842196;0.192991753;0.286991678;0.082694588;0.314211987;0.119760434;0.145275918;0.051065396;0.010857629;0.080640691;0.152253798;0.153532269;0.094064399;0.130354266;0.621703054;0.014591783;0.042114719;0.065908011;0.081039774;0.068855248;0.085475126;0.35798466;0.020312286;0.146647365;0.11880759;0.064117911;0.157044128;0.152840116;0.253925986;0.058895412;0.047721491
