Code;Libelle;Pere;Pere2;Pere3;Pere4;Pere5;Pere6
PRG_GA01Z;Culture et production animale, chasse et services annexes;PRA88_01;PRA64_AZ1;PRA38_AZ;PRA21_A;PRA10_AZ;PRNN_TOTAL
PRG_GA02Z;Sylviculture et exploitation forestière;PRA88_02;PRA64_AZ2;PRA38_AZ;PRA21_A;PRA10_AZ;PRNN_TOTAL
PRG_GA03Z;Pêche et aquaculture;PRA88_03;PRA64_AZ3;PRA38_AZ;PRA21_A;PRA10_AZ;PRNN_TOTAL
PRG_GB05Z;Extraction de houille et de lignite;PRA88_05;PRA64_BZ0;PRA38_BZ;PRA21_B;PRA10_BE;PRNN_TOTAL
PRG_GB06Z;Extraction d hydrocarbures;PRA88_06;PRA64_BZ0;PRA38_BZ;PRA21_B;PRA10_BE;PRNN_TOTAL
PRG_GB07Z;Extraction de minerais métalliques;PRA88_07;PRA64_BZ0;PRA38_BZ;PRA21_B;PRA10_BE;PRNN_TOTAL
PRG_GB08Z;Autres industries extractives;PRA88_08;PRA64_BZ0;PRA38_BZ;PRA21_B;PRA10_BE;PRNN_TOTAL
PRG_GB09Z;Services de soutien aux industries extractives;PRA88_09;PRA64_BZ0;PRA38_BZ;PRA21_B;PRA10_BE;PRNN_TOTAL
PRG_GC10A;Transform et conserv viande et préparation prod à base de viande;PRA88_10;PRA64_CA0;PRA38_CA;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC10B;Transform et conserv poisson, crustacés et mollusques;PRA88_10;PRA64_CA0;PRA38_CA;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC10C;Transformation et conservation de fruits et légumes;PRA88_10;PRA64_CA0;PRA38_CA;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC10D;Fabrication d’huiles et graisses végétales et animales;PRA88_10;PRA64_CA0;PRA38_CA;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC10E;Fabrication de produits laitiers;PRA88_10;PRA64_CA0;PRA38_CA;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC10F;Travail des grains - fabrication de produits amylacés;PRA88_10;PRA64_CA0;PRA38_CA;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC10G;Fabrication produits boulangerie-pâtisserie et pâtes alimentaires;PRA88_10;PRA64_CA0;PRA38_CA;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC10H;Fabrication d autres produits alimentaires;PRA88_10;PRA64_CA0;PRA38_CA;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC10K;Fabrication d aliments pour animaux;PRA88_10;PRA64_CA0;PRA38_CA;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC11Z;Fabrication de boissons;PRA88_11;PRA64_CA0;PRA38_CA;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC12Z;Fabrication de produits à base de tabac;PRA88_12;PRA64_CA0;PRA38_CA;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC13Z;Fabrication de textiles;PRA88_13;PRA64_CB0;PRA38_CB;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC14Z;Industrie de l habillement;PRA88_14;PRA64_CB0;PRA38_CB;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC15Z;Industrie du cuir et de la chaussure;PRA88_15;PRA64_CB0;PRA38_CB;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC16Z;Trav bois - fab art bois liège (sf mbles) - vannerie et sparterie;PRA88_16;PRA64_CC1;PRA38_CC;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC17A;Fabrication de pâte à papier, de papier et de carton;PRA88_17;PRA64_CC2;PRA38_CC;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC17B;Fabrication d articles en papier ou en carton;PRA88_17;PRA64_CC2;PRA38_CC;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC18Z;Imprimerie et reproduction d enregistrements;PRA88_18;PRA64_CC3;PRA38_CC;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC19Z;Cokéfaction et raffinage;PRA88_19;PRA64_CD0;PRA38_CD;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC20A;Fab prod chimiq base, azoté, engrais, plast et caoutch synth;PRA88_20;PRA64_CE0;PRA38_CE;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC20B;Fabrication de savons, de produits d entretien et de parfums;PRA88_20;PRA64_CE0;PRA38_CE;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC20C;Fab aut produits chimiques et fibres artificielles ou synthé ;PRA88_20;PRA64_CE0;PRA38_CE;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC21Z;Industrie pharmaceutique;PRA88_21;PRA64_CF0;PRA38_CF;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC22A;Fabrication de produits en caoutchouc ;PRA88_22;PRA64_CG1;PRA38_CG;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC22B;Fabrication de produits en plastique;PRA88_22;PRA64_CG1;PRA38_CG;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC23A;Fabrication de verre et d articles en verre;PRA88_23;PRA64_CG2;PRA38_CG;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC23B;Fabrication d autres produits minéraux non métalliques hors verre;PRA88_23;PRA64_CG2;PRA38_CG;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC24A;Sidérurgie et première transformation de l acier;PRA88_24;PRA64_CH1;PRA38_CH;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC24B;Production de métaux précieux et d autres métaux non ferreux;PRA88_24;PRA64_CH1;PRA38_CH;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC24C;Fonderie;PRA88_24;PRA64_CH1;PRA38_CH;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC25A;Fabrication d éléments en métal pour la construction;PRA88_25;PRA64_CH2;PRA38_CH;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC25B;Fab réservr, citerne et conteneur métal - fab générateur vapeur;PRA88_25;PRA64_CH2;PRA38_CH;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC25C;Fabrication d armes et de munitions;PRA88_25;PRA64_CH2;PRA38_CH;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC25D;Forge, traitement des métaux, usinage;PRA88_25;PRA64_CH2;PRA38_CH;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC25E;Fabcoutellerie, outillage, quincaill et aut ouvrages en métaux;PRA88_25;PRA64_CH2;PRA38_CH;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC26A;Fabrication de composants et cartes électroniques;PRA88_26;PRA64_CI0;PRA38_CI;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC26B;Fabrication d ordinateurs et d équipements périphériques;PRA88_26;PRA64_CI0;PRA38_CI;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC26C;Fabrication d équipements de communication;PRA88_26;PRA64_CI0;PRA38_CI;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC26D;Fabrication de produits électroniques grand public;PRA88_26;PRA64_CI0;PRA38_CI;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC26E;Fab instrum et appar de mesure, essai et navigation - horlogerie;PRA88_26;PRA64_CI0;PRA38_CI;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC26F;Fab éqpts d irradiation médic électromédic et électrothérapeut;PRA88_26;PRA64_CI0;PRA38_CI;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC26G;Fab matériels optique et photo - fab supports magnétiq et opt;PRA88_26;PRA64_CI0;PRA38_CI;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC27A;Fabrication d appareils ménagers;PRA88_27;PRA64_CJ0;PRA38_CJ;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC27B;Fabrication d autres équipements électriques;PRA88_27;PRA64_CJ0;PRA38_CJ;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC28A;Fabrication de machines et équipements  d usage général ;PRA88_28;PRA64_CK0;PRA38_CK;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC28B;Fabrication de machines agricoles et forestières;PRA88_28;PRA64_CK0;PRA38_CK;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC28C;Fabrication machines de formage des métaux et machines-outils;PRA88_28;PRA64_CK0;PRA38_CK;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC28D;Fabrication d autres machines d usage spécifique;PRA88_28;PRA64_CK0;PRA38_CK;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC29A;Construction véhic automobiles - fab carrosseries et remorques ;PRA88_29;PRA64_CL1;PRA38_CL;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC29B;Fabrication d équipements automobiles;PRA88_29;PRA64_CL1;PRA38_CL;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC30A;Construction navale;PRA88_30;PRA64_CL2;PRA38_CL;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC30B;Construction locomotives et autre matériel ferroviaire roulant;PRA88_30;PRA64_CL2;PRA38_CL;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC30C;Construction aéronautique et spatiale;PRA88_30;PRA64_CL2;PRA38_CL;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC30D;Construction de véhicules militaires de combat;PRA88_30;PRA64_CL2;PRA38_CL;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC30E;Fabrication de matériels de transport nca;PRA88_30;PRA64_CL2;PRA38_CL;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC31Z;Fabrication de meubles;PRA88_31;PRA64_CM1;PRA38_CM;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC32A;Fab artic joaillerie, bijout et simil et instruments de musique;PRA88_32;PRA64_CM1;PRA38_CM;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC32B;Fabrication instruments et fournitures à usage médical et dentaire;PRA88_32;PRA64_CM1;PRA38_CM;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC32C;Fab artsport, jeux et jouets et autres activités manufacturières;PRA88_32;PRA64_CM1;PRA38_CM;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GC33Z;Réparation et installation de machines et d équipements;PRA88_33;PRA64_CM2;PRA38_CM;PRA21_C;PRA10_BE;PRNN_TOTAL
PRG_GD35A;Production, transport et distribution d électricité;PRA88_35;PRA64_DZ0;PRA38_DZ;PRA21_D;PRA10_BE;PRNN_TOTAL
PRG_GD35B;Production et distribution gaz vapeur et air conditionné;PRA88_35;PRA64_DZ0;PRA38_DZ;PRA21_D;PRA10_BE;PRNN_TOTAL
PRG_GE36Z;Captage, traitement et distribution d eau;PRA88_36;PRA64_EZ1;PRA38_EZ;PRA21_E;PRA10_BE;PRNN_TOTAL
PRG_GE37Z;Collecte et traitement des eaux usées;PRA88_37;PRA64_EZ2;PRA38_EZ;PRA21_E;PRA10_BE;PRNN_TOTAL
PRG_GE38Z;Collecte, traitement et élimination des déchets - récupération;PRA88_38;PRA64_EZ2;PRA38_EZ;PRA21_E;PRA10_BE;PRNN_TOTAL
PRG_GE39Z;Dépollution et autres services de gestion des déchets;PRA88_39;PRA64_EZ2;PRA38_EZ;PRA21_E;PRA10_BE;PRNN_TOTAL
PRG_GF41A;Promotion immobilière;PRA88_41;PRA64_FZ0;PRA38_FZ;PRA21_F;PRA10_FZ;PRNN_TOTAL
PRG_GF41B;Construction de bâtiments résidentiels et non résidentiels;PRA88_41;PRA64_FZ0;PRA38_FZ;PRA21_F;PRA10_FZ;PRNN_TOTAL
PRG_GF42Z;Génie civil;PRA88_42;PRA64_FZ0;PRA38_FZ;PRA21_F;PRA10_FZ;PRNN_TOTAL
PRG_GF43Z;Travaux de construction spécialisés;PRA88_43;PRA64_FZ0;PRA38_FZ;PRA21_F;PRA10_FZ;PRNN_TOTAL
PRG_GG45Z;Commerce et réparation d automobiles et de motocycles;PRA88_45;PRA64_GZ1;PRA38_GZ;PRA21_G;PRA10_GI;PRNN_TOTAL
PRG_GG46Z;Commerce de gros, à l’exception des automobiles et des motocycles;PRA88_46;PRA64_GZ2;PRA38_GZ;PRA21_G;PRA10_GI;PRNN_TOTAL
PRG_GG47Z;Comm détail, sf automobiles et motocycles;PRA88_47;PRA64_GZ3;PRA38_GZ;PRA21_G;PRA10_GI;PRNN_TOTAL
PRG_GH49A;Transports ferroviaires;PRA88_49;PRA64_HZ1;PRA38_HZ;PRA21_H;PRA10_GI;PRNN_TOTAL
PRG_GH49B;Autres transports terrestres de voyageurs;PRA88_49;PRA64_HZ1;PRA38_HZ;PRA21_H;PRA10_GI;PRNN_TOTAL
PRG_GH49C;Transports routiers de fret et par conduites;PRA88_49;PRA64_HZ1;PRA38_HZ;PRA21_H;PRA10_GI;PRNN_TOTAL
PRG_GH50Z;Transports par eau;PRA88_50;PRA64_HZ2;PRA38_HZ;PRA21_H;PRA10_GI;PRNN_TOTAL
PRG_GH51Z;Transports aériens;PRA88_51;PRA64_HZ3;PRA38_HZ;PRA21_H;PRA10_GI;PRNN_TOTAL
PRG_GH52Z;Entreposage et services auxiliaires des transports;PRA88_52;PRA64_HZ4;PRA38_HZ;PRA21_H;PRA10_GI;PRNN_TOTAL
PRG_GH53Z;Activités de poste et de courrier;PRA88_53;PRA64_HZ5;PRA38_HZ;PRA21_H;PRA10_GI;PRNN_TOTAL
PRG_GI55Z;Hébergement;PRA88_55;PRA64_IZ0;PRA38_IZ;PRA21_I;PRA10_GI;PRNN_TOTAL
PRG_GI56Z;Restauration;PRA88_56;PRA64_IZ0;PRA38_IZ;PRA21_I;PRA10_GI;PRNN_TOTAL
PRG_GJ58Z;Édition;PRA88_58;PRA64_JA1;PRA38_JA;PRA21_J;PRA10_JZ;PRNN_TOTAL
PRG_GJ59Z;Prod films cinémat vidéo et progTV- enrg sonore et éd musicale;PRA88_59;PRA64_JA2;PRA38_JA;PRA21_J;PRA10_JZ;PRNN_TOTAL
PRG_GJ60Z;Programmation et diffusion;PRA88_60;PRA64_JA2;PRA38_JA;PRA21_J;PRA10_JZ;PRNN_TOTAL
PRG_GJ61Z;Télécommunications;PRA88_61;PRA64_JB0;PRA38_JB;PRA21_J;PRA10_JZ;PRNN_TOTAL
PRG_GJ62Z;Programmation, conseil et autres activités informatiques;PRA88_62;PRA64_JC0;PRA38_JC;PRA21_J;PRA10_JZ;PRNN_TOTAL
PRG_GJ63Z;Services d information;PRA88_63;PRA64_JC0;PRA38_JC;PRA21_J;PRA10_JZ;PRNN_TOTAL
PRG_GK64H;Activ svices financiers, hors assur et cais retr (hors SIFIM);PRA88_64;PRA64_KZ1;PRA38_KZ;PRA21_K;PRA10_KZ;PRNN_TOTAL
PRG_GK64S;Activ svices financiers, hors assur et cais retr (SIFIM);PRA88_64;PRA64_KZ1;PRA38_KZ;PRA21_K;PRA10_KZ;PRNN_TOTAL
PRG_GK65Z;Assurance;PRA88_65;PRA64_KZ2;PRA38_KZ;PRA21_K;PRA10_KZ;PRNN_TOTAL
PRG_GK66Z;Activités auxiliaires de services financiers et d assurance;PRA88_66;PRA64_KZ3;PRA38_KZ;PRA21_K;PRA10_KZ;PRNN_TOTAL
PRG_GL68A;Act marchands de biens immo et act immo pour compte de tiers;PRA88_68;PRA64_LZ0;PRA38_LZ;PRA21_L;PRA10_LZ;PRNN_TOTAL
PRG_GL68I;Location et exploitation de biens immobiliers (loyers imp)      ;PRA88_68;PRA64_LZ0;PRA38_LZ;PRA21_L;PRA10_LZ;PRNN_TOTAL
PRG_GL68R;Location et exploitation de biens immobiliers (loyers réels)      ;PRA88_68;PRA64_LZ0;PRA38_LZ;PRA21_L;PRA10_LZ;PRNN_TOTAL
PRG_GM69Z;Activités juridiques et comptables;PRA88_69;PRA64_MA1;PRA38_MA;PRA21_M;PRA10_MN;PRNN_TOTAL
PRG_GM70Z;Activités des sièges sociaux - conseil de gestion;PRA88_70;PRA64_MA1;PRA38_MA;PRA21_M;PRA10_MN;PRNN_TOTAL
PRG_GM71Z;Activ  architecture et ingénierie- contrôle et analyses techniques;PRA88_71;PRA64_MA2;PRA38_MA;PRA21_M;PRA10_MN;PRNN_TOTAL
PRG_GM72M;Recherche-dévelop scientifique (marchande)               ;PRA88_72;PRA64_MB0;PRA38_MB;PRA21_M;PRA10_MN;PRNN_TOTAL
PRG_GM72N;Recherche-dévelop scientifique (non marchande)                 ;PRA88_72;PRA64_MB0;PRA38_MB;PRA21_M;PRA10_MN;PRNN_TOTAL
PRG_GM73Z;Publicité et études de marché;PRA88_73;PRA64_MC1;PRA38_MC;PRA21_M;PRA10_MN;PRNN_TOTAL
PRG_GM74Z;Autres activités spécialisées, scientifiques et techniques;PRA88_74;PRA64_MC2;PRA38_MC;PRA21_M;PRA10_MN;PRNN_TOTAL
PRG_GM75Z;Activités vétérinaires;PRA88_75;PRA64_MC2;PRA38_MC;PRA21_M;PRA10_MN;PRNN_TOTAL
PRG_GN77Z;Activités de location et location-bail;PRA88_77;PRA64_NZ1;PRA38_NZ;PRA21_N;PRA10_MN;PRNN_TOTAL
PRG_GN78Z;Activités liées à l emploi;PRA88_78;PRA64_NZ2;PRA38_NZ;PRA21_N;PRA10_MN;PRNN_TOTAL
PRG_GN79Z;Activ agences voyage, voyagistes, serv résa et activ connexes;PRA88_79;PRA64_NZ3;PRA38_NZ;PRA21_N;PRA10_MN;PRNN_TOTAL
PRG_GN80Z;Enquêtes et sécurité;PRA88_80;PRA64_NZ4;PRA38_NZ;PRA21_N;PRA10_MN;PRNN_TOTAL
PRG_GN81Z;Services relatifs aux bâtiments et aménagement paysager;PRA88_81;PRA64_NZ4;PRA38_NZ;PRA21_N;PRA10_MN;PRNN_TOTAL
PRG_GN82Z;Activ administratives et autres activ soutien aux entreprises;PRA88_82;PRA64_NZ4;PRA38_NZ;PRA21_N;PRA10_MN;PRNN_TOTAL
PRG_GO84Z;Administration publique et défense - sécurité sociale obligatoire;PRA88_84;PRA64_OZ0;PRA38_OZ;PRA21_O;PRA10_OQ;PRNN_TOTAL
PRG_GP85M;Enseignement (marchand);PRA88_85;PRA64_PZ0;PRA38_PZ;PRA21_P;PRA10_OQ;PRNN_TOTAL
PRG_GP85N;Enseignement (non marchand);PRA88_85;PRA64_PZ0;PRA38_PZ;PRA21_P;PRA10_OQ;PRNN_TOTAL
PRG_GQ86M;Activités pour la santé humaine (marchandes);PRA88_86;PRA64_QA0;PRA38_QA;PRA21_Q;PRA10_OQ;PRNN_TOTAL
PRG_GQ86N;Activités pour la santé humaine (non marchandes);PRA88_86;PRA64_QA0;PRA38_QA;PRA21_Q;PRA10_OQ;PRNN_TOTAL
PRG_GQ87M;Hébergement médico-social et social  (marchand);PRA88_87;PRA64_QB0;PRA38_QB;PRA21_Q;PRA10_OQ;PRNN_TOTAL
PRG_GQ87N;Hébergement médico-social et social  (non marchand);PRA88_87;PRA64_QB0;PRA38_QB;PRA21_Q;PRA10_OQ;PRNN_TOTAL
PRG_GQ88M;Action sociale sans hébergement  (marchande);PRA88_88;PRA64_QB0;PRA38_QB;PRA21_Q;PRA10_OQ;PRNN_TOTAL
