TiVA_6;TiVA_27;TiVA_41
D01T03;D01T03;D01T03
D05T09;D05T06;D05T06
D05T09;D07T08;D07T08
D05T09;D09;D09
D10T33;D10T12;D10T12
D10T33;D13T15;D13T15
D10T33;D16T18;D16
D10T33;D16T18;D17T18
D10T33;D19T23;D19
D10T33;D19T23;D20T21
D10T33;D19T23;D22
D10T33;D19T23;D23
D10T33;D24T25;D24
D10T33;D24T25;D25
D10T33;D26T27;D26
D10T33;D26T27;D27
D10T33;D28;D28
D10T33;D29T30;D29
D10T33;D29T30;D30
D10T33;D31T33;D31T33
D35T39;D35T39;D35T39
D41T43;D41T43;D41T43
D45T82;D45T56;D45T47
D45T82;D45T56;D49T53
D45T82;D45T56;D55T56
D45T82;D58T63;D58T60
D45T82;D58T63;D61
D45T82;D58T63;D62T63
D45T82;D64T66;D64T66
D45T82;D68;D68
D45T82;D69T82;D69T82
D84T98;D84T88;D84
D84T98;D84T88;D85
D84T98;D84T88;D86T88
D84T98;D90T98;D90T96
D84T98;D90T98;D97T98
D84T98;D05T39;D05T39
D84T98;D45T98;D45T98
D84T98;D58T82;D58T82
D84T98;D41T98;D41T98
D84T98;DINFO;DINFO
